Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
BackDG0001,-11.5257,-44.3408,1.137e-17,9.495e-18,4.541e-18,66.9243,380.34
BackDG0015,6.5294,7.6460,4.324e-17,2.808e-17,9.933e-18,143.8293,349.91
BackDG0016,6.6560,7.5704,1.277e-17,1.131e-17,5.091e-18,41.2085,349.2
BackDG0017,6.5347,7.5912,1.566e-17,1.223e-17,5.564e-18,58.0283,347.58
BackDG0018,6.6282,7.7541,1.394e-17,1.103e-17,4.747e-18,55.0645,350.23
BackDG0019,6.6346,7.6087,1.310e-17,1.124e-17,4.974e-18,42.5063,350.8
BackDG0020,6.5736,7.6391,1.391e-17,1.157e-17,4.894e-18,43.9428,347.12
BackDG0021,6.3950,7.5787,1.468e-17,1.234e-17,6.053e-18,55.7249,349.16
BackDG0022,6.3863,7.6614,1.345e-17,1.199e-17,4.743e-18,56.9005,350.93
BackDG0023,6.4745,7.6248,1.378e-17,1.167e-17,5.292e-18,59.1966,350.07
BackDG0024,6.6487,7.6728,1.316e-17,1.138e-17,4.889e-18,46.056,350.74
BackDG0037,0.4643,9.1854,1.573e-16,1.348e-16,4.168e-17,436.6875,126.52
BackDG0038,0.6852,9.3497,6.231e-17,5.118e-17,2.143e-17,113.6488,123.04
BackDG0039,0.4871,9.3117,6.243e-17,4.868e-17,2.063e-17,98.7702,124.86
BackDG0040,0.3794,8.7942,8.157e-17,6.812e-17,2.861e-17,115.5145,123.25
BackDG0041,0.9899,9.2446,5.711e-17,4.779e-17,2.058e-17,104.1432,123.34
BackDG0042,0.4228,9.1382,4.462e-17,3.537e-17,1.605e-17,258.1749,125.72
BackDG0043,0.3682,9.1245,4.575e-17,3.304e-17,1.476e-17,264.6783,127.09
BackDG0044,0.6531,9.2284,6.583e-17,5.271e-17,2.664e-17,124.4885,124.96
BackDG0045,0.5341,9.2171,6.051e-17,5.322e-17,2.543e-17,153.1612,125.07
BackDG0046,0.4403,9.3422,6.561e-17,5.574e-17,2.486e-17,136.306,122.23
BackDG0056,-4.0757,-0.2702,2.999e-17,2.175e-17,7.120e-18,155.2369,430.18
BackDG0057,-3.9917,-0.3737,1.004e-17,7.947e-18,3.843e-18,39.0417,428.97
BackDG0058,-4.0876,-0.2892,8.777e-18,8.094e-18,3.668e-18,35.026,426.5
BackDG0059,-4.0160,-0.1508,1.154e-17,9.321e-18,4.194e-18,42.2973,427.66
BackDG0060,-4.0198,-0.1302,1.091e-17,9.074e-18,3.976e-18,46.2601,426.57
BackDG0061,-4.0368,-0.3917,9.881e-18,8.119e-18,4.172e-18,49.3421,428.76
