Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
BackS000001,-42.2686,1.2319,4.646e-18,4.020e-18,2.185e-18,0.001,83.91,0
BackS000002,-42.2854,1.1495,1.730e-20,2.152e-20,2.482e-20,0.0,81.95,0
BackS000004,-42.3121,1.1674,1.931e-18,1.727e-18,1.022e-18,-0.0,84.92,0
BackS000005,-42.2394,1.1890,1.723e-20,2.295e-20,2.891e-20,-0.0,83.6,0
BackS000008,-42.3182,1.2020,2.755e-20,3.598e-20,4.420e-20,0.0,86.21,0
BackS000009,-42.3259,1.1855,8.886e-18,6.858e-18,2.980e-18,-0.0,82.47,0
BackS000010,-42.3275,1.1425,4.949e-18,4.159e-18,2.143e-18,0.001,85.37,0
BackS000013,-42.2196,1.1421,7.136e-19,1.317e-18,3.440e-18,0.0,81.65,0
BackS000014,-42.2880,1.2379,2.733e-18,2.450e-18,1.442e-18,0.0,80.98,0
BackS000016,-42.3050,1.0988,1.208e-20,1.629e-20,2.198e-20,0.001,80.28,0
BackS000019,-42.2953,1.1609,5.205e-20,6.158e-20,6.339e-20,-0.0,82.14,0
BackS000020,-42.2280,1.1859,5.819e-20,7.142e-20,7.528e-20,0.001,82.15,0
BackS000021,-42.2832,1.2038,1.022e-13,7.628e-14,3.188e-14,-0.001,81.84,1
BackS000022,-42.3023,1.1822,1.487e-18,1.310e-18,7.424e-19,0.0,82.96,0
BackS000023,-42.3305,1.1800,1.427e-18,1.278e-18,7.103e-19,-0.001,82.71,0
BackS000026,-42.2450,1.1104,4.414e-18,3.753e-18,2.022e-18,-0.0,83.23,0
BackS000027,-42.3056,1.1482,3.840e-18,7.288e-18,1.962e-17,0.0,84.95,0
BackS000031,-42.3577,1.1719,4.766e-18,3.961e-18,1.959e-18,-0.0,80.61,0
BackS000033,-42.3022,1.1497,1.397e-20,1.854e-20,2.442e-20,0.0,82.6,0
BackS000036,-42.2556,1.0939,1.863e-19,1.993e-19,1.625e-19,-0.0,86.55,0
BackS000037,-42.2826,1.1444,7.119e-14,5.290e-14,2.168e-14,0.0,82.86,1
BackS000039,-42.2497,1.1654,7.699e-19,7.697e-19,5.400e-19,0.001,81.03,0
BackS000041,-42.2926,1.1242,2.857e-17,2.099e-17,8.333e-18,-0.0,87.34,0
BackS000042,-42.3818,1.1682,2.707e-18,4.915e-18,1.194e-17,-0.001,82.56,0
BackS000043,-42.2875,1.1657,2.191e-18,1.929e-18,1.059e-18,0.0,82.2,0
BackS000044,-42.2169,1.1706,1.065e-18,1.037e-18,7.089e-19,0.001,82.44,0
BackS000045,-42.3308,1.1755,1.645e-18,1.513e-18,9.211e-19,0.0,83.29,0
BackS000046,-42.3326,1.2139,2.740e-19,2.785e-19,2.110e-19,0.001,83.74,0
BackS000047,-42.2900,1.1846,1.085e-18,1.996e-18,5.058e-18,0.0,81.78,0
BackS000048,-42.3112,1.1709,2.067e-18,1.855e-18,1.072e-18,-0.001,85.4,0
BackS000049,-42.3193,1.1660,2.592e-18,2.290e-18,1.250e-18,-0.001,86.01,0
BackS000050,-42.2744,1.1631,4.978e-18,4.057e-18,1.903e-18,0.0,84.14,0
BackS000051,-42.3582,1.2196,2.202e-18,1.873e-18,9.924e-19,-0.0,87.49,0
BackS000053,-42.2876,1.1487,1.299e-17,9.800e-18,4.005e-18,-0.0,85.1,0
BackS000055,-42.3783,1.1645,9.032e-18,7.211e-18,3.192e-18,-0.0,80.04,0
BackS000058,-42.2504,1.1363,1.105e-18,1.036e-18,6.561e-19,-0.001,85.67,0
BackS000059,-42.3717,1.1717,7.520e-15,5.048e-15,1.600e-15,0.001,84.17,0
BackS000062,-42.3306,1.1780,2.074e-19,2.233e-19,1.866e-19,-0.0,82.23,0
BackS000065,-42.2327,1.1755,4.391e-19,4.401e-19,3.209e-19,0.0,80.83,0
BackS000066,-42.3190,1.1383,1.861e-20,2.342e-20,2.598e-20,-0.001,81.14,0
BackS000067,-42.2483,1.1622,3.073e-20,3.636e-20,3.633e-20,-0.0,85.91,0
BackS000070,-42.2135,1.1793,6.525e-19,6.678e-19,4.981e-19,-0.0,83.75,0
BackS000071,-42.2966,1.1326,1.629e-19,1.796e-19,1.551e-19,-0.001,81.41,0
BackS000072,-42.3219,1.2275,3.425e-18,3.052e-18,1.714e-18,-0.001,84.66,0
BackS000075,-42.3095,1.2087,2.881e-19,2.984e-19,2.273e-19,0.0,84.92,0
BackS000077,-42.2520,1.1562,1.560e-18,3.363e-18,1.185e-17,-0.001,81.07,0
BackS000079,-42.2524,1.1320,7.460e-20,8.656e-20,8.315e-20,0.001,84.41,0
BackS000080,-42.2432,1.1735,4.728e-14,3.235e-14,1.124e-14,-0.0,82.86,0
BackS000081,-42.2693,1.1884,1.491e-19,1.593e-19,1.348e-19,0.0,84.07,0
BackS000082,-42.2520,1.1588,1.179e-18,1.906e-18,3.825e-18,0.0,84.88,0
BackS000083,-42.2827,1.1910,2.170e-17,1.705e-17,7.833e-18,0.0,83.24,1
BackS000084,-42.2943,1.1671,2.096e-20,2.676e-20,3.262e-20,0.0,85.63,0
BackS000085,-42.2499,1.1609,1.672e-19,1.850e-19,1.720e-19,0.0,86.09,0
BackS000086,-42.2573,1.1656,7.752e-19,1.321e-18,2.779e-18,-0.001,85.62,0
BackS000087,-42.2726,1.2378,7.723e-19,7.534e-19,5.087e-19,0.0,87.05,0
BackS000089,-42.3323,1.1941,6.056e-18,4.717e-18,2.120e-18,0.0,81.02,0
BackS000090,-42.3529,1.1589,2.165e-19,2.319e-19,1.969e-19,-0.0,83.95,0
BackS000091,-42.2658,1.1436,2.902e-18,2.628e-18,1.529e-18,0.001,80.4,0
BackS000092,-42.2244,1.1342,1.608e-20,2.095e-20,2.577e-20,-0.0,80.16,0
BackS000095,-42.3693,1.1552,3.607e-19,3.641e-19,2.772e-19,-0.0,81.43,0
BackS000096,-42.2401,1.1135,1.303e-18,2.620e-18,8.193e-18,0.0,87.61,0
BackS000099,-42.2623,1.1667,3.498e-18,2.997e-18,1.595e-18,0.0,82.88,0
BackS000102,-42.2868,1.1381,1.322e-19,1.488e-19,1.320e-19,-0.0,85.33,0
BackS000104,-42.1907,1.1799,3.313e-18,4.947e-18,8.068e-18,0.001,83.38,0
BackS000105,-42.3322,1.2146,1.871e-19,2.037e-19,1.829e-19,-0.001,81.61,0
BackS000107,-42.2946,1.1808,3.199e-18,4.950e-18,8.810e-18,0.0,82.97,0
BackS000108,-42.2478,1.1355,1.084e-17,8.956e-18,4.219e-18,-0.0,86.25,0
BackS000110,-42.2910,1.1413,2.311e-18,2.045e-18,1.179e-18,0.0,83.27,0
BackS000111,-42.3385,1.1601,1.384e-18,2.053e-18,3.293e-18,0.0,86.36,0
BackS000112,-42.3090,1.1840,2.320e-19,2.439e-19,1.961e-19,0.001,82.94,0
BackS000113,-42.2935,1.1944,4.211e-19,6.698e-19,1.278e-18,-0.001,81.5,0
BackS000118,-42.3406,1.1621,1.668e-20,2.168e-20,2.623e-20,0.0,81.76,0
BackS000119,-42.2592,1.1594,3.986e-18,3.221e-18,1.510e-18,-0.001,83.46,0
BackS000122,-42.2538,1.1215,4.085e-20,4.629e-20,4.440e-20,-0.0,83.69,0
BackS000125,-42.2519,1.1744,3.861e-20,4.547e-20,4.738e-20,0.0,84.87,0
BackS000126,-42.2650,1.1777,4.013e-14,2.816e-14,9.862e-15,-0.0,86.44,0
BackS000127,-42.3234,1.1661,3.228e-18,5.616e-18,1.224e-17,0.0,82.38,0
BackS000128,-42.2450,1.2153,8.441e-19,8.038e-19,5.389e-19,0.001,79.81,0
BackS000130,-42.3710,1.2013,2.813e-19,2.778e-19,1.941e-19,0.001,86.14,0
BackS000131,-42.2759,1.2097,6.050e-17,4.469e-17,1.773e-17,-0.0,87.42,0
BackS000133,-42.3199,1.2222,3.437e-18,2.733e-18,1.268e-18,0.0,85.16,0
BackS000137,-42.3494,1.1955,2.609e-20,3.306e-20,3.995e-20,-0.0,81.94,0
BackS000138,-42.2834,1.2062,7.935e-19,7.551e-19,4.802e-19,0.0,82.71,0
BackS000139,-42.2937,1.1335,1.070e-18,1.422e-18,1.874e-18,0.0,86.23,0
BackS000141,-42.2580,1.1686,7.197e-19,1.237e-18,2.851e-18,-0.0,81.79,0
BackS000143,-42.3755,1.1575,1.824e-17,4.033e-17,1.490e-16,0.0,81.11,0
BackS000145,-42.3209,1.1716,7.544e-19,7.373e-19,5.030e-19,0.001,81.86,0
BackS000152,-42.2991,1.2148,1.822e-18,3.155e-18,6.972e-18,0.0,86.23,0
BackS000154,-42.2618,1.2047,1.034e-18,9.647e-19,6.144e-19,-0.0,85.79,0
BackS000158,-42.3359,1.2008,3.409e-20,4.196e-20,4.586e-20,-0.0,82.51,0
BackS000159,-42.2570,1.2080,1.089e-18,9.710e-19,5.753e-19,0.0,83.35,0
BackS000161,-42.3094,1.1698,5.120e-19,5.367e-19,4.208e-19,0.0,82.63,0
BackS000162,-42.2814,1.1396,1.062e-20,1.566e-20,2.580e-20,-0.001,83.68,0
BackS000163,-42.2371,1.1484,5.994e-20,7.107e-20,7.058e-20,-0.0,86.71,0
BackS000164,-42.2674,1.1712,2.961e-18,6.725e-18,2.667e-17,-0.0,82.92,0
BackS000165,-42.3545,1.1349,1.631e-20,2.106e-20,2.553e-20,0.0,81.2,0
BackS000166,-42.3286,1.1682,6.207e-19,5.632e-19,3.485e-19,0.0,86.27,0
BackS000169,-42.3552,1.1639,7.614e-19,7.152e-19,4.470e-19,-0.0,81.1,0
BackS000170,-42.2728,1.1658,1.376e-20,1.832e-20,2.459e-20,-0.0,81.48,0
BackS000174,-42.3224,1.1496,3.515e-20,4.225e-20,4.397e-20,0.0,84.51,0
BackS000175,-42.2942,1.1430,4.950e-18,6.769e-18,9.678e-18,0.0,82.29,0
BackS000177,-42.3247,1.2303,1.758e-20,2.277e-20,2.812e-20,0.001,87.26,0
BackS000178,-42.2791,1.1689,1.643e-19,1.671e-19,1.283e-19,0.0,83.15,0
BackS000179,-42.3073,1.1839,3.403e-18,2.912e-18,1.544e-18,0.0,84.83,0
BackS000183,-42.3296,1.2574,5.205e-18,4.225e-18,2.084e-18,0.0,86.51,0
BackS000185,-42.3274,1.1322,1.375e-20,1.848e-20,2.501e-20,0.0,85.63,0
BackS000186,-42.3396,1.1628,1.590e-20,2.103e-20,2.724e-20,-0.0,80.58,0
BackS000188,-42.3600,1.1897,3.634e-18,3.086e-18,1.588e-18,-0.001,86.26,0
BackS000192,-42.3628,1.1285,3.086e-18,5.320e-18,1.158e-17,-0.0,79.81,0
BackS000193,-42.2768,1.1787,3.567e-17,2.685e-17,1.126e-17,-0.001,86.05,1
BackS000195,-42.2565,1.2110,2.491e-19,2.831e-19,2.704e-19,-0.0,85.4,0
BackS000201,-42.3017,1.2270,7.191e-20,8.775e-20,9.538e-20,0.001,82.57,0
BackS000203,-42.3445,1.1639,1.341e-18,2.335e-18,5.231e-18,0.0,85.69,0
BackS000204,-42.3630,1.1688,1.914e-18,1.683e-18,9.007e-19,-0.0,82.85,0
BackS000205,-42.3599,1.2330,1.258e-19,1.359e-19,1.135e-19,-0.001,80.76,0
BackS000206,-42.2529,1.1573,5.081e-19,4.993e-19,3.496e-19,-0.0,84.97,0
BackS000209,-42.3295,1.1613,3.122e-19,3.149e-19,2.306e-19,0.0,86.42,0
BackS000210,-42.3374,1.1232,9.275e-19,1.415e-18,2.463e-18,-0.0,85.63,0
BackS000211,-42.2989,1.1993,9.137e-14,6.969e-14,2.911e-14,0.001,86.08,1
BackS000213,-42.2085,1.0598,6.950e-19,1.179e-18,2.476e-18,-0.0,83.04,0
BackS000214,-42.2963,1.1324,3.356e-19,3.375e-19,2.502e-19,0.001,84.12,0
BackS000215,-42.2862,1.1755,1.671e-20,2.074e-20,2.406e-20,-0.001,85.71,0
BackS000216,-42.2719,1.1991,1.702e-20,2.300e-20,3.019e-20,0.0,82.18,0
BackS000217,-42.2277,1.1144,1.708e-19,1.734e-19,1.282e-19,-0.0,79.94,0
BackS000218,-42.3774,1.1779,5.213e-20,6.146e-20,6.203e-20,0.0,84.26,0
BackS000221,-42.2347,1.1748,7.980e-18,6.397e-18,3.038e-18,-0.0,83.34,0
BackS000222,-42.2744,1.1970,4.934e-18,3.831e-18,1.677e-18,-0.0,83.83,0
BackS000228,-42.2717,1.1662,1.111e-17,8.753e-18,3.834e-18,0.0,81.05,1
BackS000231,-42.1928,1.0900,3.931e-18,3.242e-18,1.604e-18,-0.0,83.53,0
BackS000232,-42.2626,1.2192,6.284e-19,6.113e-19,4.162e-19,0.0,86.76,0
BackS000234,-42.2648,1.1184,6.682e-14,4.890e-14,1.945e-14,-0.0,82.87,0
BackS000235,-42.3127,1.2290,2.249e-18,4.009e-18,9.311e-18,-0.0,85.86,0
BackS000240,-42.2728,1.2047,1.008e-13,7.694e-14,3.281e-14,0.001,84.32,1
BackS000241,-42.2620,1.1916,1.716e-14,1.163e-14,3.843e-15,0.001,84.91,0
BackS000243,-42.3422,1.1576,2.849e-18,5.362e-18,1.422e-17,0.0,81.95,0
BackS000245,-42.3102,1.2285,2.286e-17,1.706e-17,6.863e-18,-0.0,80.37,0
