Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
BottomDG0007,-1.7586,0.2679,1.300e-17,1.069e-17,4.841e-18,69.4081,365.98
BottomDG0084,-30.4596,0.4238,1.227e-17,1.147e-17,5.071e-18,102.0507,295.98
BottomDG0085,-30.4253,0.4711,1.897e-17,1.570e-17,7.562e-18,65.3215,294.11
BottomDG0086,-30.4026,0.3239,1.968e-17,1.750e-17,6.909e-18,59.972,295.19
BottomDG0087,-30.4071,0.4193,1.677e-17,1.409e-17,6.292e-18,62.5948,293.95
BottomDG0088,-30.5300,0.5284,1.772e-17,1.531e-17,6.213e-18,74.1382,293.9
BottomDG0089,-30.5783,0.4278,1.748e-17,1.542e-17,6.485e-18,62.9544,294.82
BottomDG0105,32.1554,23.6896,1.085e-17,9.111e-18,4.268e-18,89.9889,382.98
BottomDG0106,32.2200,23.7874,1.422e-17,1.114e-17,5.111e-18,54.8695,382.53
BottomDG0107,32.0250,23.6225,1.300e-17,1.063e-17,4.806e-18,51.8058,383.22
BottomDG0108,32.0883,23.6811,1.608e-17,1.263e-17,6.008e-18,53.9732,382.57
BottomDG0109,32.0650,23.7050,1.553e-17,1.270e-17,5.030e-18,63.0541,382.83
BottomDG0110,32.2195,23.5677,1.444e-17,1.145e-17,4.762e-18,48.2876,382.99
BottomDG0200,-3.6600,-8.2215,3.079e-17,2.671e-17,1.030e-17,254.597,171.77
BottomDG0201,-3.6916,-8.2946,4.152e-17,3.443e-17,1.398e-17,79.7248,170.28
BottomDG0202,-3.5583,-8.2754,4.680e-17,4.127e-17,1.664e-17,110.5991,170.85
BottomDG0203,-3.6784,-8.3213,4.431e-17,3.272e-17,1.549e-17,87.9827,171.58
BottomDG0204,-3.9982,-8.2295,4.413e-17,3.696e-17,1.641e-17,120.4123,170.39
BottomDG0205,-3.7296,-8.0758,4.470e-17,4.008e-17,1.505e-17,87.8397,171.68
BottomDG0206,-3.4496,-8.2413,2.817e-17,2.444e-17,1.203e-17,119.5581,170.91
BottomDG0207,-3.5410,-8.1529,4.840e-17,3.519e-17,1.612e-17,114.3124,171.07
BottomDG0336,37.1001,-21.4311,7.659e-18,6.067e-18,2.980e-18,49.0582,492.14
BottomDG0356,-23.7550,17.4357,1.236e-16,1.023e-16,4.449e-17,252.456,113.53
BottomDG0370,-15.5365,1.2099,1.063e-17,8.881e-18,4.091e-18,81.1166,292.05
BottomDG0371,-15.5907,1.3224,1.502e-17,1.283e-17,6.147e-18,52.4459,293.05
BottomDG0372,-15.5020,1.2372,1.461e-17,1.334e-17,5.949e-18,68.5842,291.9
BottomDG0373,-15.5705,1.1154,1.616e-17,1.387e-17,5.256e-18,53.0552,292.24
BottomDG0374,-15.6071,1.2362,1.074e-17,9.748e-18,4.041e-18,56.6512,291.73
BottomDG0382,-21.3947,17.9522,6.752e-18,5.278e-18,2.627e-18,63.7297,464.07
BottomDG0383,-21.3946,17.8999,1.016e-17,8.028e-18,3.480e-18,43.2607,463.34
BottomDG0384,-21.4410,17.9639,9.697e-18,7.595e-18,3.398e-18,37.751,463.35
BottomDG0385,-21.4831,17.9455,7.430e-18,6.248e-18,2.692e-18,44.6018,464.53
BottomDG0386,-21.4637,17.9829,9.285e-18,7.735e-18,3.770e-18,44.4981,464.62
BottomDG0387,21.0184,2.8784,8.816e-18,8.045e-18,3.167e-18,74.9323,388.28
BottomDG0388,21.0729,2.8117,1.392e-17,1.120e-17,5.253e-18,50.3762,389.28
BottomDG0389,21.0236,2.8695,1.294e-17,1.063e-17,5.100e-18,56.1267,389.22
BottomDG0390,21.0222,2.9258,1.318e-17,1.141e-17,5.108e-18,51.4198,388.67
BottomDG0391,20.9094,2.8585,1.325e-17,1.002e-17,5.422e-18,57.9242,388.97
BottomDG0437,-12.9332,-39.4583,1.093e-17,9.030e-18,4.277e-18,38.6934,374.46
BottomDG0438,-12.9318,-39.5953,7.464e-18,6.052e-18,2.702e-18,53.0304,374.27
BottomDG0439,-12.9893,-39.4797,7.854e-18,6.115e-18,2.681e-18,64.429,374.44
BottomDG0440,-13.0095,-39.5778,1.074e-17,9.213e-18,3.917e-18,43.3261,374.19
BottomDG0470,-6.9689,2.4577,3.426e-17,3.000e-17,9.849e-18,150.9148,402.12
BottomDG0471,-6.9870,2.5383,8.167e-18,6.696e-18,3.745e-18,72.3825,401.56
BottomDG0472,-6.9260,2.2793,1.191e-17,1.040e-17,4.547e-18,39.8002,400.47
BottomDG0473,-6.8770,2.7208,1.227e-17,9.969e-18,4.392e-18,40.6637,403.48
BottomDG0474,-7.1122,2.3594,1.497e-17,1.144e-17,5.215e-18,56.6776,401.55
BottomDG0475,-6.8388,2.3474,1.691e-17,1.515e-17,5.531e-18,59.1981,403.16
BottomDG0476,-7.0810,2.4048,1.163e-17,8.205e-18,4.553e-18,53.7403,401.6
BottomDG0477,-6.8201,2.5728,1.186e-17,9.920e-18,4.311e-18,43.8317,402.88
BottomDG0478,-6.9300,2.3927,8.405e-18,7.314e-18,3.024e-18,96.807,403.69
BottomDG0479,-7.1104,2.4440,1.216e-17,1.036e-17,5.007e-18,49.5019,401.34
BottomDG0480,-6.9840,2.5313,9.006e-18,7.396e-18,3.508e-18,50.4412,400.91
BottomDG0481,-6.9265,2.7054,1.288e-17,1.051e-17,4.787e-18,64.0627,404.11
BottomDG0482,-7.0961,2.2158,1.223e-17,1.110e-17,4.991e-18,65.4335,401.09
BottomDG0483,-7.0079,2.5691,1.175e-17,9.985e-18,4.425e-18,55.5119,402.22
BottomDG0484,-7.1251,2.5992,1.326e-17,9.220e-18,4.428e-18,54.7288,402.4
BottomDG0485,-6.9508,2.3191,1.796e-17,1.582e-17,5.792e-18,46.7401,403.8
BottomDG0520,-14.4823,-4.3430,6.027e-18,5.038e-18,2.231e-18,58.578,444.16
BottomDG0521,-14.4490,-4.3820,9.484e-18,7.670e-18,3.753e-18,50.6591,444.61
BottomDG0522,-14.5061,-4.3159,9.106e-18,9.100e-18,3.756e-18,48.7586,444.44
BottomDG0523,-14.4512,-4.3320,9.045e-18,9.188e-18,4.051e-18,43.3208,444.02
BottomDG0524,-14.4239,-4.3149,1.043e-17,7.863e-18,3.496e-18,44.6038,444.19
BottomDG0532,9.0431,16.3876,3.790e-17,2.907e-17,1.047e-17,107.674,447.98
BottomDG0533,9.1093,15.9980,1.462e-17,1.417e-17,5.710e-18,51.0971,445.05
BottomDG0534,9.2098,16.3475,1.400e-17,1.068e-17,5.423e-18,47.6584,446.39
BottomDG0535,9.0454,16.2151,1.471e-17,1.271e-17,6.114e-18,52.9858,449.61
BottomDG0536,9.2245,16.4647,1.471e-17,1.159e-17,5.572e-18,59.2524,446.79
BottomDG0537,8.9985,16.3991,1.457e-17,1.094e-17,5.368e-18,62.6872,447.52
BottomDG0538,8.7499,16.2473,8.803e-18,8.265e-18,3.479e-18,68.3014,447.75
BottomDG0539,8.9617,16.4607,1.439e-17,1.154e-17,5.303e-18,49.2295,444.63
BottomDG0540,9.0264,16.4798,1.580e-17,1.077e-17,5.082e-18,53.6883,445.02
BottomDG0541,8.9888,16.4849,9.524e-18,7.822e-18,3.168e-18,66.3353,446.88
BottomDG0542,9.4124,16.5993,1.402e-17,1.108e-17,5.506e-18,51.0416,444.24
BottomDG0543,9.2974,16.7757,2.019e-17,1.684e-17,7.156e-18,50.1793,445.65
BottomDG0544,8.9462,16.2998,1.205e-17,8.676e-18,4.240e-18,97.3706,443.12
BottomDG0545,8.7243,16.0213,1.413e-17,1.188e-17,5.605e-18,58.0802,444.28
BottomDG0546,9.3035,16.1868,2.085e-17,1.606e-17,6.870e-18,58.3302,445.36
BottomDG0547,8.9364,16.1668,1.222e-17,8.549e-18,4.064e-18,90.9621,443.53
BottomDG0548,9.3318,16.1727,1.560e-17,1.332e-17,6.192e-18,54.4672,444.28
BottomDG0549,8.9040,15.7913,1.959e-17,1.492e-17,6.492e-18,53.815,444.0
BottomDG0550,8.9393,16.0593,1.369e-17,1.158e-17,4.999e-18,43.9077,446.11
