Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
BottomS070103,31.1110,-22.6067,2.204e-18,3.885e-18,8.946e-18,-0.0,4.22,0
BottomS070104,31.1092,-22.4928,2.497e-20,3.230e-20,3.899e-20,-0.0,4.37,0
BottomS070105,31.1502,-22.5587,9.202e-19,8.457e-19,5.237e-19,-0.0,5.78,0
BottomS070106,31.1199,-22.5699,2.966e-20,3.546e-20,3.794e-20,-0.001,5.87,0
BottomS070109,31.0210,-22.5102,1.437e-18,1.338e-18,8.474e-19,0.001,6.08,0
BottomS070110,31.0547,-22.5478,1.424e-18,1.303e-18,7.851e-19,-0.001,7.94,0
BottomS070112,31.0771,-22.6009,1.901e-19,2.156e-19,1.950e-19,0.0,9.71,0
BottomS070113,31.1012,-22.5909,1.151e-17,9.752e-18,4.990e-18,0.0,4.22,0
BottomS070114,31.0955,-22.5289,4.219e-19,7.461e-19,1.774e-18,0.001,6.72,0
BottomS070115,31.1059,-22.6082,7.058e-20,8.116e-20,7.827e-20,0.001,5.14,0
BottomS070116,31.1525,-22.5480,3.515e-18,3.130e-18,1.812e-18,0.001,3.75,0
BottomS070118,31.0857,-22.6132,3.754e-20,4.491e-20,4.667e-20,0.0,5.79,0
BottomS070123,31.0546,-22.5605,2.862e-20,3.660e-20,4.398e-20,0.0,9.33,0
BottomS070124,31.0394,-22.5203,1.133e-20,1.501e-20,1.962e-20,-0.0,6.14,0
BottomS070125,31.1082,-22.5516,4.797e-19,4.603e-19,3.131e-19,0.001,5.67,0
BottomS070126,31.1107,-22.5985,2.017e-17,1.463e-17,5.628e-18,-0.0,7.48,0
BottomS070127,31.0662,-22.5660,1.369e-18,1.229e-18,7.403e-19,-0.0,9.25,0
BottomS070129,31.0723,-22.5776,1.506e-18,1.327e-18,7.718e-19,-0.001,5.02,0
BottomS070130,31.0886,-22.5530,3.550e-19,3.463e-19,2.463e-19,0.0,8.25,0
BottomS070131,31.0746,-22.5308,4.891e-19,6.936e-19,1.039e-18,0.001,7.17,0
BottomS070132,31.1228,-22.5839,4.883e-18,4.151e-18,2.236e-18,0.0,3.23,0
BottomS070134,31.0893,-22.5736,4.758e-20,5.871e-20,6.700e-20,0.001,7.38,0
BottomS070135,31.1273,-22.5765,6.038e-20,7.114e-20,7.369e-20,0.001,8.0,0
BottomS070137,31.1316,-22.6127,3.509e-18,2.859e-18,1.382e-18,0.0,9.56,0
BottomS070138,31.1003,-22.5210,4.172e-17,2.988e-17,1.120e-17,-0.001,8.52,0
BottomS070141,31.0846,-22.5522,1.840e-19,1.961e-19,1.627e-19,-0.001,4.8,0
BottomS070142,31.1203,-22.6274,3.077e-18,5.520e-18,1.334e-17,-0.001,6.96,0
BottomS070143,31.0684,-22.5276,2.357e-18,2.070e-18,1.160e-18,-0.001,4.6,0
BottomS070148,31.1327,-22.5464,2.968e-18,2.519e-18,1.311e-18,0.0,8.95,0
BottomS070149,31.0612,-22.5356,1.058e-18,1.703e-18,3.286e-18,0.0,3.74,0
BottomS070150,31.0964,-22.5958,1.031e-13,7.683e-14,3.111e-14,-0.0,4.52,0
BottomS070152,31.1342,-22.5741,5.477e-18,9.481e-18,2.112e-17,0.001,3.55,0
BottomS070153,31.1176,-22.5743,4.741e-18,3.829e-18,1.805e-18,0.001,6.74,0
BottomS070160,31.1223,-22.6600,5.512e-17,3.994e-17,1.531e-17,0.0,9.01,0
BottomS070162,31.0422,-22.5706,7.652e-19,7.334e-19,4.712e-19,0.0,7.87,0
BottomS070163,31.0360,-22.5522,5.925e-19,5.584e-19,3.741e-19,-0.001,6.17,0
BottomS070165,31.1281,-22.6048,2.485e-19,2.592e-19,1.997e-19,0.0,5.71,0
BottomS070166,31.0705,-22.6061,1.300e-18,1.118e-18,5.821e-19,-0.0,9.96,0
BottomS070168,31.1317,-22.5630,1.594e-18,1.360e-18,7.208e-19,-0.0,6.93,0
BottomS070169,31.1231,-22.5912,4.941e-18,4.070e-18,1.914e-18,-0.0,8.47,0
BottomS070171,31.0909,-22.6177,6.391e-18,5.202e-18,2.508e-18,-0.0,4.23,0
BottomS070172,31.0391,-22.5620,2.682e-19,2.756e-19,2.084e-19,0.001,7.57,0
BottomS070173,31.1352,-22.6393,7.759e-14,5.512e-14,2.034e-14,0.001,7.5,0
BottomS070174,31.1204,-22.5882,2.106e-18,3.989e-18,1.053e-17,-0.0,4.63,0
BottomS070175,31.0903,-22.5700,2.376e-20,2.922e-20,3.264e-20,0.001,7.07,0
