Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
FrontDG0025,23.8853,32.7307,8.734e-17,6.935e-17,2.360e-17,216.7627,261.24
FrontDG0026,23.9099,33.0927,3.334e-17,2.611e-17,1.092e-17,81.2226,257.65
FrontDG0027,24.0053,32.3336,3.499e-17,2.865e-17,1.296e-17,99.9045,259.47
FrontDG0028,24.2369,32.7311,3.352e-17,2.829e-17,1.202e-17,88.7587,259.22
FrontDG0029,23.6299,33.0819,3.164e-17,2.454e-17,1.105e-17,68.09,260.18
FrontDG0030,24.2675,32.8348,3.323e-17,2.956e-17,1.272e-17,87.1707,260.83
FrontDG0031,24.2798,32.9674,3.498e-17,2.665e-17,1.152e-17,104.9059,257.49
FrontDG0032,23.9785,32.5538,3.208e-17,2.394e-17,1.127e-17,81.0866,258.2
FrontDG0033,23.9498,32.5241,3.459e-17,2.787e-17,1.302e-17,81.0001,260.62
FrontDG0034,24.1017,32.5880,3.196e-17,2.382e-17,1.060e-17,74.2055,260.54
FrontDG0035,23.2724,32.6948,2.221e-17,1.805e-17,7.993e-18,84.2478,259.04
FrontDG0036,23.8262,32.6479,3.172e-17,2.556e-17,1.282e-17,96.92,257.35
FrontDG0090,-8.7342,-28.5503,5.352e-17,3.843e-17,1.354e-17,178.0307,302.21
FrontDG0091,-8.5523,-28.6572,1.701e-17,1.342e-17,6.295e-18,57.5874,305.61
FrontDG0092,-8.5330,-28.6143,1.970e-17,1.513e-17,7.277e-18,75.2554,303.54
FrontDG0093,-8.5846,-28.2933,1.724e-17,1.467e-17,6.191e-18,62.3342,300.6
FrontDG0094,-8.8696,-28.3422,1.865e-17,1.634e-17,7.055e-18,51.6575,300.71
FrontDG0095,-8.6465,-28.4659,1.836e-17,1.425e-17,6.597e-18,80.6714,304.38
FrontDG0096,-8.6281,-28.4228,1.824e-17,1.534e-17,6.327e-18,66.6578,303.48
FrontDG0097,-8.8531,-28.5724,2.041e-17,1.611e-17,7.515e-18,54.2491,305.37
FrontDG0098,-8.5724,-28.2430,1.917e-17,1.575e-17,6.963e-18,59.3423,303.94
FrontDG0099,-8.6965,-28.6287,1.870e-17,1.475e-17,6.535e-18,65.3101,300.9
FrontDG0100,-8.8444,-28.7315,1.838e-17,1.626e-17,7.506e-18,67.896,301.09
FrontDG0101,-8.6744,-28.4642,1.380e-17,1.008e-17,4.418e-18,124.6397,300.5
FrontDG0147,13.4686,43.7656,1.029e-16,7.089e-17,3.074e-17,131.8571,123.38
FrontDG0148,13.5778,44.1841,9.706e-17,7.250e-17,3.577e-17,147.789,124.4
FrontDG0149,13.7640,43.8973,1.019e-16,7.348e-17,3.175e-17,134.6384,124.5
FrontDG0162,-4.2734,-30.7638,9.705e-18,8.989e-18,3.808e-18,108.5745,386.12
FrontDG0163,-4.3080,-30.7277,1.725e-17,1.441e-17,6.302e-18,63.8618,385.84
FrontDG0164,-4.2642,-30.9719,1.714e-17,1.291e-17,6.384e-18,60.3292,387.33
FrontDG0165,-4.2341,-30.6974,1.448e-17,1.323e-17,5.804e-18,53.2836,386.05
FrontDG0166,-4.1969,-30.9544,1.702e-17,1.361e-17,6.254e-18,60.6505,385.31
FrontDG0167,-4.3650,-30.6096,1.673e-17,1.210e-17,6.679e-18,57.0189,387.17
