Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
FrontS018096,-26.8934,15.4129,5.294e-20,6.356e-20,6.937e-20,0.001,26.55,0
FrontS018097,-26.9558,15.4730,1.181e-20,1.551e-20,1.869e-20,0.001,22.02,0
FrontS018098,-26.9066,15.5077,1.195e-18,1.052e-18,5.962e-19,0.001,27.07,0
FrontS018099,-26.9362,15.4548,1.146e-18,1.027e-18,5.704e-19,0.001,22.29,0
FrontS018102,-26.9033,15.4462,3.544e-18,3.013e-18,1.623e-18,0.0,22.62,0
FrontS018105,-26.8772,15.4205,2.267e-20,2.924e-20,3.496e-20,0.001,26.75,0
FrontS018108,-26.9209,15.4578,1.446e-19,1.584e-19,1.403e-19,0.001,24.91,0
FrontS018111,-26.9314,15.4722,1.012e-18,1.673e-18,3.295e-18,-0.0,23.53,0
FrontS018112,-26.9027,15.4451,1.331e-18,1.292e-18,8.788e-19,-0.0,26.1,0
FrontS018113,-26.9162,15.4702,1.713e-18,1.504e-18,8.431e-19,0.0,23.56,0
FrontS018119,-26.8999,15.4249,1.204e-17,9.419e-18,4.200e-18,0.0,27.22,1
FrontS018120,-26.8715,15.4666,2.784e-19,2.913e-19,2.299e-19,0.0,26.48,0
FrontS018121,-26.8927,15.4505,3.349e-19,3.484e-19,2.618e-19,0.0,27.36,0
FrontS018122,-26.8985,15.4729,2.694e-18,5.041e-18,1.354e-17,-0.001,24.52,0
FrontS018125,-26.8943,15.4940,9.327e-19,8.298e-19,4.812e-19,0.0,24.99,0
FrontS018127,-26.8817,15.4664,1.043e-17,7.867e-18,3.215e-18,0.001,26.89,0
FrontS018128,-26.8807,15.4899,3.336e-19,3.388e-19,2.451e-19,-0.0,23.76,0
FrontS018129,-26.8742,15.4584,7.368e-19,6.985e-19,4.353e-19,-0.0,21.46,0
FrontS018132,-26.9087,15.4746,8.880e-19,8.325e-19,5.273e-19,0.001,22.14,0
FrontS018133,-26.9080,15.4658,6.039e-15,4.053e-15,1.285e-15,0.001,22.95,0
FrontS018136,-26.8928,15.4304,1.663e-19,1.791e-19,1.496e-19,-0.001,23.32,0
FrontS018137,-26.8965,15.4415,7.263e-19,6.939e-19,4.758e-19,-0.0,24.66,0
FrontS018140,-26.8767,15.4444,2.463e-18,3.868e-18,7.158e-18,0.0,20.9,0
FrontS018141,-26.9071,15.4742,8.833e-19,7.758e-19,4.373e-19,0.001,25.46,0
FrontS018145,-26.9232,15.4987,2.559e-19,2.602e-19,1.975e-19,0.001,21.06,0
FrontS018146,-26.8976,15.5093,5.166e-19,4.846e-19,3.138e-19,0.001,23.19,0
FrontS018147,-26.8980,15.4167,5.439e-19,9.167e-19,1.985e-18,0.001,21.03,0
