Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
LeftDG0002,-18.3373,-9.1907,4.986e-17,4.179e-17,1.775e-17,201.0811,158.25
LeftDG0003,-18.2986,-8.9650,1.071e-16,8.575e-17,3.130e-17,94.7696,156.49
LeftDG0004,-18.2264,-9.1655,7.477e-17,5.817e-17,2.390e-17,139.0328,158.08
LeftDG0005,-18.4815,-9.3100,5.760e-17,4.145e-17,1.759e-17,140.0504,156.51
LeftDG0006,-18.3388,-9.2550,6.625e-17,5.369e-17,2.342e-17,123.7964,157.9
LeftDG0008,-13.3169,44.8461,2.508e-17,1.959e-17,8.363e-18,55.0637,260.84
LeftDG0009,-13.2276,44.9558,1.749e-17,1.412e-17,6.064e-18,69.5076,260.64
LeftDG0010,-13.2401,44.8413,2.341e-17,1.563e-17,7.947e-18,65.1007,260.07
LeftDG0011,-13.2331,44.9482,2.200e-17,1.811e-17,7.669e-18,71.2521,259.76
LeftDG0066,2.5751,-15.4005,1.567e-17,1.195e-17,5.608e-18,144.5571,281.09
LeftDG0067,2.4520,-15.3351,2.142e-17,1.670e-17,7.795e-18,94.0391,279.59
LeftDG0068,2.5227,-15.2119,3.017e-17,2.676e-17,1.043e-17,83.9659,280.96
LeftDG0069,2.4832,-15.3105,2.402e-17,2.030e-17,9.254e-18,72.3452,281.34
LeftDG0070,2.3650,-15.4081,1.946e-17,1.947e-17,7.310e-18,67.6297,280.2
LeftDG0071,2.7074,-15.3217,2.301e-17,2.146e-17,8.499e-18,76.5204,279.36
LeftDG0072,2.5825,-15.2556,2.392e-17,2.021e-17,8.403e-18,77.1046,283.03
LeftDG0073,2.6278,-15.1946,2.154e-17,1.821e-17,8.442e-18,67.7681,279.47
LeftDG0228,37.7293,-26.7890,7.567e-18,6.490e-18,3.036e-18,101.94,423.32
LeftDG0229,37.7621,-26.9112,1.182e-17,9.848e-18,4.506e-18,48.4972,422.96
LeftDG0230,37.9255,-26.7377,1.247e-17,1.058e-17,4.771e-18,63.3879,424.21
LeftDG0231,37.6648,-26.7686,8.402e-18,7.508e-18,3.116e-18,57.2704,422.66
LeftDG0232,37.7863,-26.6377,1.309e-17,1.072e-17,4.574e-18,55.3787,421.97
LeftDG0233,37.5473,-26.8359,1.170e-17,1.022e-17,4.319e-18,50.016,422.43
LeftDG0234,37.5526,-26.6442,1.253e-17,1.090e-17,4.600e-18,42.6858,423.82
LeftDG0235,37.7473,-26.9203,8.566e-18,7.590e-18,3.219e-18,60.669,423.43
LeftDG0236,37.6656,-26.9982,1.200e-17,1.016e-17,4.585e-18,54.2756,422.87
LeftDG0312,39.9136,19.7827,1.167e-17,9.808e-18,5.235e-18,99.5361,344.36
LeftDG0313,40.0046,19.6274,2.266e-17,1.880e-17,8.789e-18,63.5986,344.92
LeftDG0314,39.9126,19.9279,1.602e-17,1.366e-17,6.913e-18,58.0547,343.81
LeftDG0315,40.0920,19.6918,1.168e-17,1.042e-17,4.493e-18,76.2489,344.88
LeftDG0316,39.8802,19.7437,1.553e-17,1.495e-17,6.502e-18,58.21,343.3
LeftDG0317,39.8419,19.7565,1.647e-17,1.449e-17,6.690e-18,78.3748,344.69
