Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
LeftS013197,6.8261,-40.3509,1.388e-14,9.172e-15,2.993e-15,0.0,30.13,0
LeftS013198,6.8660,-40.3923,5.240e-19,5.503e-19,4.420e-19,0.001,32.8,0
LeftS013199,6.8774,-40.3905,1.291e-18,1.204e-18,7.432e-19,-0.0,31.2,0
LeftS013200,6.8720,-40.4281,2.722e-14,1.848e-14,6.164e-15,-0.001,29.56,0
LeftS013205,6.8500,-40.3478,7.462e-14,5.594e-14,2.327e-14,0.0,29.22,1
LeftS013208,6.8809,-40.3590,1.820e-18,1.693e-18,1.031e-18,-0.0,32.15,0
LeftS013209,6.8865,-40.3660,3.797e-19,3.893e-19,2.872e-19,-0.001,33.27,0
LeftS013210,6.8644,-40.3705,2.323e-14,2.745e-14,2.753e-14,-0.0,32.61,0
LeftS013211,6.8739,-40.3558,3.912e-18,3.258e-18,1.642e-18,-0.0,32.33,0
LeftS013212,6.8672,-40.3698,3.767e-19,3.518e-19,2.221e-19,0.0,33.26,0
LeftS013213,6.8423,-40.3917,5.686e-19,5.726e-19,4.100e-19,0.001,30.73,0
LeftS013216,6.8554,-40.3291,4.623e-19,4.451e-19,2.995e-19,-0.001,28.89,0
LeftS013218,6.8382,-40.3555,1.730e-18,2.682e-18,4.790e-18,-0.001,31.5,0
LeftS013219,6.8828,-40.3762,2.579e-18,4.886e-18,1.328e-17,0.0,33.01,0
LeftS013220,6.8789,-40.3681,7.317e-19,7.170e-19,4.860e-19,0.0,32.98,0
LeftS013223,6.8683,-40.3608,3.041e-18,2.689e-18,1.530e-18,-0.0,32.57,0
LeftS013224,6.8509,-40.3976,4.245e-20,5.049e-20,5.172e-20,-0.0,31.15,0
LeftS013225,6.9065,-40.3548,3.275e-20,4.114e-20,4.620e-20,0.0,33.99,0
LeftS013226,6.8362,-40.4034,2.569e-20,3.506e-20,4.830e-20,0.0,30.64,0
LeftS013228,6.8494,-40.3316,1.064e-17,8.859e-18,4.352e-18,-0.0,31.94,0
LeftS013229,6.8777,-40.3988,1.601e-18,2.325e-18,3.786e-18,0.0,30.65,0
LeftS013231,6.8569,-40.3574,4.312e-18,1.023e-17,4.481e-17,0.0,31.71,0
LeftS013232,6.8592,-40.3859,1.345e-18,2.285e-18,5.117e-18,0.001,30.43,0
LeftS013234,6.8559,-40.3329,2.333e-20,3.060e-20,3.935e-20,0.0,29.55,0
LeftS013236,6.8517,-40.4061,3.096e-18,2.744e-18,1.591e-18,0.0,33.27,0
LeftS013239,6.8675,-40.3216,4.859e-20,5.714e-20,5.954e-20,-0.001,31.04,0
LeftS013253,6.8524,-40.3971,2.656e-18,4.274e-18,7.964e-18,-0.0,30.73,0
LeftS013254,6.8301,-40.3954,5.994e-18,1.008e-17,2.163e-17,-0.0,31.07,0
LeftS013255,6.8450,-40.3857,9.845e-19,9.323e-19,5.904e-19,0.001,32.43,0
LeftS013256,6.8732,-40.3681,9.715e-14,7.417e-14,3.059e-14,0.0,29.59,1
LeftS013257,6.8443,-40.3515,3.106e-20,4.108e-20,5.447e-20,0.0,33.49,0
LeftS013258,6.8790,-40.3887,3.092e-14,2.161e-14,7.496e-15,-0.0,30.97,0
LeftS013259,6.8441,-40.3706,1.804e-18,3.775e-18,1.288e-17,0.0,31.49,0
LeftS013260,6.8504,-40.3670,1.053e-19,1.136e-19,9.675e-20,-0.0,29.51,0
LeftS013261,6.8690,-40.3724,4.402e-18,3.660e-18,1.852e-18,0.001,30.92,0
LeftS013262,6.8742,-40.3928,6.239e-19,1.175e-18,3.055e-18,-0.0,31.54,0
LeftS013263,6.8372,-40.3786,1.461e-18,2.565e-18,5.911e-18,0.0,31.88,0
LeftS013264,6.8635,-40.3845,3.010e-18,5.061e-18,1.059e-17,0.001,30.83,0
LeftS013268,6.8901,-40.3844,5.226e-19,5.211e-19,3.595e-19,-0.0,31.03,0
LeftS013269,6.8420,-40.3902,9.176e-20,1.058e-19,1.020e-19,0.0,31.56,0
LeftS013270,6.8548,-40.3784,3.652e-19,3.620e-19,2.619e-19,0.0,30.66,0
LeftS013272,6.8780,-40.4041,1.372e-20,1.756e-20,2.099e-20,-0.0,29.77,0
LeftS013276,6.8562,-40.3887,2.553e-19,2.699e-19,2.111e-19,0.001,29.01,0
LeftS013277,6.8868,-40.3793,1.239e-18,2.624e-18,8.823e-18,-0.001,33.28,0
LeftS013279,6.8239,-40.3557,3.589e-19,3.837e-19,3.210e-19,-0.0,33.04,0
LeftS013280,6.8493,-40.3970,2.467e-20,3.021e-20,3.339e-20,-0.0,32.32,0
LeftS013281,6.8625,-40.3488,8.863e-19,8.341e-19,5.485e-19,0.001,29.74,0
LeftS013282,6.8443,-40.3656,1.054e-18,1.919e-18,4.791e-18,0.0,30.5,0
LeftS013283,6.8368,-40.3585,1.376e-18,2.175e-18,3.962e-18,-0.0,31.66,0
LeftS013285,6.8752,-40.4089,3.883e-19,3.831e-19,2.708e-19,-0.0,29.19,0
LeftS013286,6.8865,-40.3748,7.769e-19,1.231e-18,2.342e-18,0.0,32.85,0
LeftS013288,6.8646,-40.3776,1.010e-20,1.409e-20,1.938e-20,0.001,29.51,0
LeftS013289,6.8517,-40.3306,1.385e-18,1.252e-18,7.449e-19,0.0,30.46,0
LeftS013291,6.8931,-40.3747,4.058e-18,6.844e-18,1.469e-17,-0.0,29.97,0
LeftS013292,6.8351,-40.3548,1.425e-18,1.309e-18,8.267e-19,-0.001,32.34,0
LeftS013294,6.8726,-40.4193,1.090e-18,2.031e-18,5.189e-18,-0.0,31.13,0
LeftS013295,6.8708,-40.3731,1.766e-18,3.628e-18,1.210e-17,-0.001,32.74,0
LeftS013296,6.8145,-40.3434,2.272e-18,1.985e-18,1.085e-18,-0.001,33.46,0
