Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
RightS003307,44.9949,2.5382,2.027e-17,1.496e-17,5.894e-18,-0.0,7.15,0
RightS003308,44.9939,2.5364,6.160e-18,4.709e-18,1.992e-18,0.0,7.28,0
RightS003468,44.9752,2.5105,2.957e-14,2.070e-14,7.074e-15,0.0,7.03,0
RightS003470,44.9827,2.5381,1.567e-18,3.450e-18,1.264e-17,-0.001,7.19,0
RightS003471,44.9939,2.5201,2.840e-18,2.422e-18,1.284e-18,-0.001,7.15,0
RightS003473,44.9816,2.5177,3.006e-19,3.060e-19,2.319e-19,0.0,7.11,0
RightS003475,44.9468,2.5112,2.522e-18,2.143e-18,1.079e-18,0.001,6.9,0
RightS003476,44.9577,2.5036,1.971e-18,1.692e-18,9.022e-19,-0.001,6.9,0
RightS003479,44.9648,2.4897,2.632e-18,4.751e-18,1.196e-17,-0.0,6.9,0
RightS003480,44.9461,2.5061,3.060e-18,2.618e-18,1.357e-18,-0.0,7.03,0
RightS068257,-42.4021,40.1059,2.388e-20,2.978e-20,3.532e-20,-0.0,-29.65,0
RightS068262,-42.3945,40.1231,2.824e-20,3.551e-20,4.010e-20,-0.0,-29.05,0
RightS068263,-42.3629,40.0149,1.540e-20,2.141e-20,2.980e-20,0.0,-31.03,0
RightS068266,-42.4149,40.1676,1.286e-20,1.849e-20,2.724e-20,0.0,-29.04,0
RightS068267,-42.4040,40.0416,1.562e-18,2.617e-18,5.320e-18,0.001,-31.26,0
RightS068269,-42.3522,40.0714,1.495e-18,2.446e-18,4.835e-18,0.0,-29.97,0
RightS068270,-42.3890,40.0934,7.732e-19,7.860e-19,5.947e-19,0.0,-29.22,0
RightS068281,-42.3573,40.0808,3.005e-20,4.388e-20,6.785e-20,-0.001,-29.72,0
RightS068282,-42.3650,40.0868,3.473e-20,4.492e-20,5.650e-20,-0.0,-29.67,0
RightS068283,-42.3933,40.0288,2.229e-18,3.976e-18,9.255e-18,-0.001,-31.24,0
RightS068284,-42.3788,40.0572,8.443e-19,8.424e-19,5.890e-19,0.0,-30.94,0
RightS068288,-42.0090,39.8566,4.866e-19,5.147e-19,4.040e-19,-0.001,-29.84,0
RightS068292,-42.5132,39.9501,5.958e-19,5.794e-19,4.103e-19,0.0,-31.43,0
RightS068300,-42.5442,40.0622,1.273e-19,1.470e-19,1.398e-19,-0.001,-31.09,0
RightS068305,-42.3176,40.2286,2.242e-19,2.355e-19,1.881e-19,-0.0,-28.76,0
RightS068310,-42.3532,40.0874,2.126e-19,2.347e-19,2.070e-19,-0.0,-29.49,0
RightS068312,-42.4164,39.9429,1.223e-20,1.664e-20,2.289e-20,-0.0,-31.53,0
RightS068313,-42.5070,40.4023,3.099e-20,4.018e-20,4.844e-20,-0.0,-29.08,0
RightS068314,-42.4121,40.0919,3.558e-20,4.388e-20,5.022e-20,0.0,-30.62,0
RightS068315,-42.4440,40.1035,1.939e-20,2.477e-20,2.943e-20,-0.0,-30.5,0
RightS068317,-42.2982,40.0881,2.302e-18,2.121e-18,1.258e-18,-0.0,-29.32,0
RightS068324,-42.3532,40.0809,1.661e-20,2.367e-20,3.552e-20,0.0,-29.5,0
RightS068325,-42.3924,40.0908,6.120e-20,7.552e-20,8.252e-20,-0.0,-30.49,0
RightS068327,-42.3590,40.0903,1.207e-20,1.703e-20,2.555e-20,0.001,-29.39,0
RightS068328,-42.3529,40.0469,3.978e-18,7.209e-18,1.774e-17,0.0,-30.62,0
RightS068329,-42.2890,40.1706,6.722e-19,1.089e-18,2.083e-18,0.0,-28.96,0
RightS068330,-42.2072,39.9655,7.176e-19,7.075e-19,4.838e-19,0.001,-30.09,0
RightS068333,-42.2633,40.2892,7.208e-20,8.753e-20,9.507e-20,0.0,-28.7,0
RightS068335,-42.3793,39.7611,1.212e-13,8.593e-14,3.070e-14,0.001,-31.38,0
RightS068337,-42.3192,40.1543,1.646e-18,2.709e-18,5.466e-18,-0.0,-28.92,0
RightS068338,-42.4078,40.0523,3.153e-20,4.146e-20,5.108e-20,-0.0,-31.21,0
RightS068351,-42.4346,40.1840,1.838e-20,2.561e-20,3.727e-20,0.0,-29.22,0
RightS068353,-42.3831,40.1926,3.039e-18,5.265e-18,1.167e-17,-0.0,-28.76,0
RightS068360,-42.5340,40.1328,1.607e-20,2.202e-20,3.064e-20,0.0,-30.73,0
RightS068361,-42.2493,39.9848,2.856e-20,3.825e-20,4.860e-20,0.001,-30.15,0
RightS068362,-42.3184,39.7533,8.615e-18,1.675e-17,4.764e-17,0.0,-31.45,0
RightS068366,-42.4945,40.2328,3.573e-19,3.801e-19,3.116e-19,0.0,-29.36,0
RightS068380,-42.3927,40.1084,2.523e-20,3.299e-20,4.008e-20,-0.0,-29.04,0
RightS068381,-42.4081,40.0315,3.799e-17,1.078e-16,6.615e-16,0.0,-31.36,0
RightS068389,-42.3074,40.1027,1.683e-20,2.253e-20,2.942e-20,0.001,-29.17,0
RightS068393,-42.3964,40.3316,1.872e-19,2.115e-19,1.965e-19,-0.001,-28.69,0
RightS068397,-42.4031,40.2146,1.010e-19,1.125e-19,1.008e-19,0.0,-28.7,0
RightS068402,-42.1728,39.7642,1.979e-20,2.561e-20,3.194e-20,-0.0,-30.76,0
