Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
TopDG0047,18.6797,1.8286,1.202e-17,9.516e-18,4.534e-18,80.0569,366.11
TopDG0048,18.6354,1.7643,1.565e-17,1.365e-17,6.267e-18,47.4431,366.07
TopDG0049,18.6079,1.7354,1.802e-17,1.572e-17,7.657e-18,63.2284,366.39
TopDG0050,18.6417,1.7778,1.921e-17,1.452e-17,6.136e-18,55.2431,366.04
TopDG0178,0.2844,-36.3550,1.444e-17,1.206e-17,5.416e-18,123.2738,292.35
TopDG0179,0.3607,-36.6093,2.221e-17,1.929e-17,7.857e-18,86.2695,293.24
TopDG0180,0.3757,-36.4043,2.096e-17,1.752e-17,7.784e-18,71.337,291.85
TopDG0181,0.3151,-36.2437,2.174e-17,1.693e-17,8.043e-18,60.9689,291.85
TopDG0182,0.1752,-36.2013,2.410e-17,1.797e-17,8.091e-18,83.2223,292.59
TopDG0183,0.3201,-36.0656,2.011e-17,1.716e-17,8.169e-18,59.3948,293.6
TopDG0184,0.3113,-36.4239,2.178e-17,1.976e-17,8.587e-18,69.5217,292.12
TopDG0224,-11.1382,21.9237,7.434e-18,6.258e-18,2.931e-18,41.8752,436.3
TopDG0225,-11.2222,21.9475,1.029e-17,8.721e-18,4.091e-18,40.8292,436.08
TopDG0226,-11.1920,21.9716,1.177e-17,8.487e-18,3.911e-18,52.6122,436.02
TopDG0272,-2.6048,8.7312,8.946e-18,7.209e-18,3.402e-18,131.1118,410.45
TopDG0273,-2.6562,8.8021,1.470e-17,1.113e-17,5.286e-18,60.6831,410.03
TopDG0274,-2.5545,8.8300,1.421e-17,1.144e-17,4.680e-18,51.0674,411.15
TopDG0275,-2.6823,8.8151,1.341e-17,1.158e-17,5.668e-18,52.1165,411.22
TopDG0276,-2.5637,8.8224,1.299e-17,1.111e-17,4.417e-18,46.2757,409.96
TopDG0277,-2.5560,8.8121,1.302e-17,1.120e-17,4.468e-18,53.5627,411.06
TopDG0278,-2.5155,8.5864,1.681e-17,1.625e-17,6.602e-18,54.6345,411.11
TopDG0279,-2.6165,8.7504,1.333e-17,1.015e-17,4.686e-18,49.6195,410.94
TopDG0280,-2.7339,8.7411,1.153e-17,1.164e-17,4.852e-18,51.8567,410.59
TopDG0300,-13.7577,-33.9157,6.738e-17,4.929e-17,1.665e-17,199.3743,303.14
TopDG0301,-13.5409,-33.7334,2.663e-17,2.109e-17,1.036e-17,77.6324,300.67
TopDG0302,-13.7315,-34.0226,2.616e-17,2.132e-17,9.703e-18,78.3041,303.48
TopDG0303,-13.6152,-34.4224,2.479e-17,2.077e-17,9.232e-18,68.3067,303.07
TopDG0304,-13.6712,-33.8942,2.393e-17,2.332e-17,9.280e-18,75.1271,302.59
TopDG0305,-13.3741,-33.8991,2.273e-17,1.813e-17,7.514e-18,79.0308,302.07
TopDG0306,-13.5329,-34.2151,2.565e-17,2.089e-17,9.444e-18,74.4821,299.85
TopDG0307,-13.4626,-33.7009,2.917e-17,2.033e-17,1.025e-17,82.1841,300.02
TopDG0308,-13.5948,-33.8573,2.122e-17,1.778e-17,8.047e-18,63.7171,301.58
TopDG0309,-13.7223,-33.5856,2.474e-17,1.930e-17,9.890e-18,72.6884,303.62
TopDG0310,-13.8235,-34.0838,3.340e-17,2.694e-17,1.029e-17,82.3804,301.62
TopDG0311,-13.9321,-33.9864,2.381e-17,1.932e-17,7.899e-18,66.0184,302.09
