Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
TopS062101,2.8453,-9.5566,3.039e-18,7.416e-18,3.407e-17,0.0,-10.17,0
TopS062102,2.8502,-9.5546,1.134e-18,2.020e-18,4.863e-18,0.001,-10.45,0
TopS062103,2.8425,-9.5471,9.051e-16,5.957e-16,1.884e-16,0.001,-11.7,0
TopS062104,2.8567,-9.5422,4.047e-18,3.216e-18,1.461e-18,-0.0,-9.37,0
TopS062107,2.8393,-9.5300,5.435e-20,6.031e-20,5.307e-20,0.0,-8.77,0
TopS062108,2.8220,-9.5289,7.887e-19,1.236e-18,2.312e-18,0.001,-13.46,0
TopS062110,2.8204,-9.5536,6.289e-14,4.689e-14,1.891e-14,-0.0,-9.79,0
TopS062112,2.8348,-9.5731,9.549e-20,1.036e-19,8.824e-20,0.0,-9.47,0
TopS062113,2.8431,-9.5391,3.588e-20,4.283e-20,4.427e-20,0.0,-13.02,0
TopS062114,2.8592,-9.5635,4.055e-18,3.453e-18,1.810e-18,0.0,-11.16,0
TopS062115,2.8458,-9.5661,6.470e-20,7.351e-20,6.621e-20,0.0,-13.05,0
TopS062117,2.8626,-9.5430,2.752e-19,2.697e-19,1.843e-19,0.0,-10.16,0
TopS062120,2.8466,-9.5573,4.588e-20,5.264e-20,4.995e-20,-0.0,-10.34,0
TopS062125,2.8357,-9.5775,1.967e-20,2.219e-20,2.121e-20,-0.001,-10.85,0
TopS062126,2.8456,-9.5676,6.520e-19,1.185e-18,2.864e-18,-0.0,-10.35,0
TopS062128,2.8351,-9.5540,3.014e-19,3.121e-19,2.448e-19,-0.0,-10.6,0
TopS062130,2.8279,-9.5614,1.647e-19,1.712e-19,1.346e-19,-0.0,-10.05,0
TopS062131,2.8297,-9.5227,4.357e-14,3.144e-14,1.213e-14,0.0,-8.93,0
TopS062138,2.8628,-9.5657,4.219e-14,3.065e-14,1.158e-14,-0.0,-10.93,0
TopS062139,2.8506,-9.5334,2.792e-20,3.397e-20,3.676e-20,0.0,-11.6,0
TopS062140,2.8588,-9.5607,3.831e-20,4.397e-20,4.258e-20,-0.001,-11.36,0
TopS062142,2.8339,-9.5827,4.315e-19,6.745e-19,1.248e-18,-0.0,-9.95,0
TopS062147,2.8548,-9.5737,3.015e-17,2.353e-17,1.063e-17,0.0,-12.14,1
TopS062151,2.8584,-9.5678,4.383e-19,4.345e-19,3.095e-19,-0.0,-10.69,0
TopS062153,2.8299,-9.5534,1.538e-18,1.374e-18,8.074e-19,0.0,-11.1,0
TopS062154,2.8292,-9.5451,3.096e-19,2.992e-19,2.075e-19,0.0,-8.72,0
TopS062155,2.8376,-9.5614,2.836e-20,3.743e-20,4.766e-20,0.001,-10.5,0
TopS062157,2.8542,-9.5302,5.498e-19,4.916e-19,2.884e-19,0.0,-14.31,0
TopS062158,2.8376,-9.5532,7.278e-19,1.436e-18,4.245e-18,-0.0,-12.89,0
TopS062159,2.8553,-9.5370,8.611e-20,9.699e-20,8.846e-20,0.0,-9.38,0
TopS062166,2.8266,-9.5486,1.027e-20,1.387e-20,1.866e-20,-0.0,-12.31,0
TopS062167,2.8519,-9.5645,3.766e-18,7.810e-18,2.520e-17,-0.0,-12.72,0
TopS062168,2.8565,-9.5562,5.584e-14,5.556e-14,3.880e-14,-0.001,-11.88,1
TopS062169,2.8343,-9.5736,1.404e-17,1.105e-17,5.026e-18,-0.0,-9.28,1
