,Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?,Temp,m0,m1,m2,colour,dist,abs_mag,Total_Flux,Luminosity,Radius,trial_radius,trial_Luminosity
0,BackS132915,22.5907,12.9411,5.272e-16,1.122e-15,3.953e-15,0.102,-1.74,0,2800,-15.278024598414046,-14.950007143079857,-14.40307318565703,0.8749514127570155,9.803921568627452,-12.96720748660369,1.9082481862872463e-20,2.195008580229991e+16,22387.49938731156,733262054.7007053,2.354742764815885e+25
1,BackS132929,42.8256,2.6782,4.682e-12,9.555e-12,3.021e-11,0.055,-2.57,0,2900,-11.329568590639395,-11.019769308608968,-10.51984927472672,0.809719315912675,18.181818181818183,-8.500494687597456,1.2524802141951433e-16,4.955040429965926e+20,3135675.725355489,102590867559.19272,5.303985393324992e+29
2,BackS132950,16.5534,0.7674,8.419e-19,2.445e-18,1.596e-17,0.023,-1.09,0,2300,-18.074739490480564,-17.61172113654036,-16.79696711298529,1.2777723774952747,43.47826086956522,-14.335176808575547,2.2597024112948485e-22,5112075796736108.0,16012.034189203692,540685233.3154851,5.828989652624969e+24
3,BackS132967,-23.9836,2.348,4.199e-17,9.201e-17,3.34e-16,0.033,1.62,0,2800,-16.376854125362062,-16.03616496929785,-15.476253533188435,0.9006005921736264,30.3030303030303,-13.073192849053626,1.519866110436296e-21,1.67024107225039e+16,19528.867345625607,649032628.1843054,1.8448374607773916e+25
4,BackS133014,8.541,-2.5931,6.84e-17,1.705e-16,8.013e-16,0.077,-0.73,0,2500,-16.164943898279883,-15.768275616671483,-15.096204857258964,1.068739041020919,12.987012987012987,-13.541257067016446,7.342796980791388e-21,1.4821145739344112e+16,23076.20615269898,763407964.1719775,1.6220578173554497e+25
5,BackS133037,-29.3699,2.4922,6.219e-20,2.323e-19,2.633e-18,0.028,1.85,0,2000,-19.206279443186478,-18.633950790199766,-17.57954914089393,1.6267303022925468,35.714285714285715,-15.528266852884204,9.935365906088348e-23,1516594619940131.5,11533.956329275099,397924762.4667077,1.8051564063860786e+24
6,BackS133047,6.8318,-1.0791,3.076e-18,8.347e-18,4.666e-17,0.033,-0.5,0,2400,-17.51201366887061,-17.07846958649876,-16.331055265542265,1.1809584033283436,30.3030303030303,-14.115497466254535,5.105054115560364e-22,5610146184141263.0,15405.228486518632,517680093.88519734,6.335207161765758e+24
7,BackS133069,-6.1856,-0.4821,7.694e-14,1.292e-13,2.831e-13,0.014,0.39,0,3400,-13.113847818029203,-12.888737486340935,-12.548060130634896,0.5657876873943071,71.42857142857143,-9.18099355769741,6.279467642533121e-19,3.8341443819066474e+19,634570.5836912862,20442255310.24731,3.978929160246278e+28
8,BackS133112,-18.2683,1.5964,7.222e-14,9.149e-14,1.062e-13,0.068,1.44,0,4500,-13.141342515909193,-13.038626372405199,-12.973875483254549,0.1674670326546437,14.705882352941176,-10.703644197817672,1.3619121912603575e-19,3.524787905127462e+17,34733.21669096918,1091980373.5101955,3.483955855275118e+26
9,BackS133140,-12.5961,0.3695,3.697e-14,5.9e-14,1.083e-13,0.168,1.15,0,3600,-13.432150549426893,-13.229147988357855,-12.96537154337468,0.4667790060522137,5.952380952380952,-11.679766551809582,2.1071546977131167e-19,8.934691563618586e+16,27323.625194660155,881108571.4967806,9.290985412736477e+25
10,BackS133183,-10.3834,1.0232,3.47e-15,6.005e-15,1.346e-14,0.085,0.88,0,3300,-14.459670525209127,-14.221486988261075,-13.870954940112043,0.5887155850970842,11.76470588235294,-12.080324839689661,3.462892288864154e-20,5.73591674875978e+16,26054.160156935206,839838082.1783533,5.959911485513713e+25
11,BackS133270,29.7199,-0.1019,8.191e-15,1.105e-14,1.497e-14,0.03,-1.86,0,4200,-14.086663074067376,-13.95663772197887,-13.824778199656947,0.26188487441042874,33.333333333333336,-10.910880231418195,2.0750429855337537e-20,2.759219787034832e+17,35277.52478424201,1115433045.9239862,2.758526104282259e+26
12,BackS133337,-6.8081,-0.482,1.544e-14,1.98e-14,2.469e-14,0.026,0.48,0,4400,-13.811352704000283,-13.703334809738468,-13.607478910068068,0.20387379393221572,38.46153846153846,-10.533281505680105,3.1917690379381986e-20,5.6504946626435795e+17,45998.26173448951,1443130095.6626894,5.561790121013586e+26
13,BackS133366,-24.6775,0.5913,3.054e-17,6.257e-17,2.046e-16,0.017,1.47,0,2900,-16.515130967279596,-16.20363384502248,-15.68909437062386,0.8260365966557366,58.8235294117647,-12.664531687779029,8.169744925570203e-22,3.383080734446116e+16,25909.77990067279,849356866.9381374,3.6355097960724287e+25
14,BackS133651,16.8033,-4.1645,1.096e-09,7.695e-10,2.75e-10,0.132,-1.48,0,16200,-8.96018944585165,-9.113791375832502,-9.560667306169737,-0.6004778603180867,7.575757575757575,-7.354939238244202,8.89699158875485e-16,6.110785297536351e+20,111589.16349153694,3478749057.814975,5.938806627561489e+29
15,BackS133653,-16.116,0.35,1.444e-06,1.291e-06,7.466e-07,0.157,1.44,1,7600,-5.84043280676638,-5.88907375773358,-6.126912014409714,-0.28647920764333445,6.369426751592357,-4.280873062552047,8.425228476200934e-13,4.090572455172059e+23,13118023.325054327,400623697703.0945,3.815228575759888e+32
16,BackS133654,-28.203,-0.2095,3.01e-11,2.66e-11,1.518e-11,0.125,2.22,0,7700,-10.521433504406156,-10.575118363368933,-10.818728228440538,-0.29729472403438173,8.0,-8.768938389385045,1.739255696419898e-17,1.3321254205629258e+19,72928.05753801219,2220194944.354267,1.23463345911057e+28
17,BackS133655,-44.7606,-1.0314,2.232e-10,6.21e-10,3.669e-09,0.108,2.92,0,2400,-9.65130580973446,-9.20690839982342,-8.435452288244052,1.2158535214904074,9.25925925925926,-7.273755910797318,3.704317550692691e-14,3.800689628795307e+22,40097034.84983408,1364370257000.1553,4.400503556965104e+31
18,BackS133688,44.3053,1.2203,9.575e-12,7.604e-12,3.382e-12,0.042,-2.51,1,10300,-11.01886121735934,-11.118957891806595,-11.470826396738277,-0.4519651793789361,23.809523809523807,-8.365456472602396,5.308026757057668e-18,3.60110869408615e+19,67011.17053933832,2037337275.0362992,3.328646562040113e+28
19,BackS133689,33.0056,-2.2315,1.102e-12,9.837e-13,5.45e-13,0.045,-2.14,0,7800,-11.957818405484234,-12.007137328610971,-12.263603497723357,-0.3057850922391232,22.22222222222222,-9.31356235616166,6.311642624638918e-19,3.7300880222738074e+18,37607.4488373563,1153645535.2040348,3.510072710791669e+27
20,BackS133690,22.4281,0.0428,1.14e-10,8.093e-11,3.034e-11,0.044,-1.59,0,14600,-9.943095148663527,-10.091890459607448,-10.517984423549288,-0.574889274885761,22.72727272727273,-7.378795812579823,8.195698412891342e-17,5.066199914705412e+20,125094.7226597049,3837595717.2043114,4.7678522383324574e+29
21,BackS133691,13.2959,0.7368,4.728e-11,3.57e-11,1.444e-11,0.042,-0.98,0,12100,-10.325322532126801,-10.447331783887806,-10.84043280676638,-0.5151102746395786,23.809523809523807,-7.693830364683608,2.8633947087849655e-17,1.9426042957857292e+20,112778.15106629321,3439267275.829971,1.8066176928395092e+29
22,BackS133692,6.5482,-0.4084,5.458e-11,4.155e-11,1.684e-11,0.04,-0.5,0,12000,-10.262966468666122,-10.38142897187987,-10.77365791283637,-0.5106914441702486,25.0,-7.5855489545357955,3.28567833819298e-17,2.4575749373023312e+20,128971.70200306374,3943183319.040076,2.2972689516628232e+29
23,BackS133693,0.6116,-0.6891,1.241e-11,9.601e-12,4.038e-12,0.049,-0.05,1,11300,-10.90622821850127,-11.017683530307934,-11.39383368539238,-0.4876054668911092,20.408163265306122,-8.398075690364962,7.18425117900984e-18,3.5808906188332356e+19,55519.06956617493,1692831662.1490462,3.329156746525524e+28
24,BackS133694,-6.6412,0.1452,1.255e-10,9.047e-11,3.544e-11,0.045,0.52,0,13400,-9.901356274182943,-10.043495409683302,-10.450506286784988,-0.5491500126020448,22.22222222222222,-7.34992043723399,8.276094920750974e-17,4.891050455642737e+20,145913.34490645918,4433309245.614825,4.5151082762306906e+29
25,BackS133696,-23.1238,1.2201,2.719e-12,5.112e-12,1.375e-11,0.044,1.65,0,3100,-11.5655907924125,-11.291409154849656,-10.861697301833718,0.7038934905787819,22.72727272727273,-8.578314507822032,4.267981388472237e-17,2.638267766445813e+20,2002348.1302585602,65180923260.953865,2.7956365758864636e+29
26,BackS133697,-24.9744,-0.9295,4.048e-11,3.001e-11,1.196e-11,0.039,1.69,0,12600,-10.392759496168257,-10.522734004575147,-10.922268820347607,-0.5295093241793509,25.641025641025642,-7.704863218628145,2.5296857563474138e-17,1.9903940687582652e+20,105276.63203515694,3205349139.574595,1.84512497120471e+29
27,BackS133728,35.1747,0.2785,6.273e-11,4.463e-11,1.601e-11,0.025,-2.0,0,15700,-10.202524712462665,-10.35037311315947,-10.7956086680807,-0.5930839556180345,40.0,-7.1462531305035455,4.8998877518152435e-17,9.382267721666515e+20,147217.06135056334,4589805402.412286,9.119690047946274e+29
28,BackS133730,20.7078,0.1088,1.435e-11,1.039e-11,3.913e-12,0.023,-1.34,0,14100,-10.843148098929989,-10.983384452442822,-11.407490152099319,-0.5643420531693302,43.47826086956522,-7.706840124478008,9.945441953581961e-18,2.2499357811286737e+20,89382.06303812616,2749540115.8163157,2.1290678130065972e+29
29,BackS133731,17.576,-0.0251,1.166e-18,3.332e-18,2.137e-17,0.027,-1.19,0,2300,-17.933301449577005,-17.47729500726525,-16.670195477835932,1.2631059717410729,37.03703703703704,-14.340022535583227,3.1296032920415647e-22,5137637629185124.0,16052.01663237543,537677230.2331402,5.764313034033817e+24
30,BackS133732,10.6601,0.08,4.537e-12,3.595e-12,1.663e-12,0.027,-0.74,0,9900,-11.343231220733983,-11.444301105281099,-11.779107750780481,-0.43587653004649773,37.03703703703704,-8.307028633599074,2.4865596493274786e-18,4.082000569875599e+19,77227.09166979097,2329621793.767216,3.714535748365737e+28
31,BackS133733,5.3157,0.2688,2.084e-11,1.586e-11,6.444e-12,0.026,-0.38,1,12000,-10.681102285372512,-10.799696817018415,-11.19084446825282,-0.5097421828803075,38.46153846153846,-7.629643512960051,1.2545536197864013e-17,2.2209779117296216e+20,122606.40716658196,3748000919.229329,2.0754739394824734e+29
32,BackS133822,40.203,3.9449,3.661e-11,3.228e-11,1.77e-11,0.118,-2.8,0,7900,-10.436400271118469,-10.491066473949967,-10.752026733638193,-0.3156264625197238,8.474576271186441,-8.634830488562217,2.0801119248542764e-17,1.787822491609417e+19,80262.29141026665,2453160266.4523435,1.6701409777399938e+28
33,BackS133875,36.1259,-0.3557,3.513e-15,5.24e-15,8.361e-15,0.046,-2.28,0,3800,-14.454321850207974,-14.280668713016274,-14.077741776567033,0.37658007364094104,21.73913043478261,-11.606184376379423,1.4691722891737288e-20,8.30919158113473e+16,23649.160651915863,754960245.675152,8.46789523179931e+25
34,BackS133877,18.4702,0.2301,5.206e-11,4.095e-11,1.766e-11,0.047,-1.37,0,10800,-10.283495836226782,-10.387746093903562,-10.75300930075845,-0.4695134645316674,21.27659574468085,-7.731941809774997,2.942610606025732e-17,1.5941852537069643e+20,128240.56458507883,3911827600.805278,1.4833627132906677e+29
35,BackS133878,12.1503,0.4705,1.64e-14,2.096e-14,2.461e-14,0.041,-0.9,0,4500,-13.785156151952302,-13.678608721688311,-13.608888386297197,0.17626776565510482,24.390243902439025,-10.904176435127782,3.092683458414552e-20,2.20175740431465e+17,27451.320717885315,866859502.104571,2.1955352092822162e+26
36,BackS133882,-5.5094,0.2683,2.13e-12,1.748e-12,8.791e-13,0.037,0.42,0,8900,-11.671620396561263,-11.757458571701616,-12.055961719945582,-0.38434132338431937,27.027027027027028,-8.893862019835606,1.1600893621444137e-18,1.0141208312512713e+19,47628.661537190645,1435696777.348829,9.214640590284806e+27
37,BackS133884,-24.0234,4.386,2.592e-13,2.831e-13,2.484e-13,0.053,1.74,0,5400,-12.586365002801445,-12.548060130634896,-12.604848408495457,-0.018483405694011523,18.867924528301888,-9.996611869836475,2.6712466058569057e-19,1.1380568354920695e+18,43340.906910207945,1343408470.1085687,1.0934127317987241e+27
38,BackS133887,-36.9337,2.1589,8.23e-13,7.795e-13,5.076e-13,0.035,2.21,0,6800,-12.08460016478773,-12.10818388047514,-12.294478386577333,-0.20987822178960336,28.57142857142857,-9.196319969175692,5.389765472109726e-19,5.265449921827494e+18,58789.9994961574,1803775451.9445136,4.956710086365095e+27
39,BackS133928,44.7525,0.019,1.956e-12,1.595e-12,7.901e-13,0.028,-2.36,0,9100,-11.708631149548417,-11.7972393126068,-12.10231793820358,-0.39368678865516316,35.714285714285715,-8.69155537529124,1.063336804391096e-18,1.6231419073711647e+19,57636.685674807115,1738579012.6096249,1.4768873056607059e+28
