,Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?,Period,Absolute_Magnitude,Dist
2,BackS000103,-42.2601,1.1465,1.626e-17,1.228e-17,5.234e-18,0.001,16.96,1,27.272727272727273,-8.240309246922122,21639.448745648493
3,BackS000213,-42.2891,1.2276,2.154e-17,1.65e-17,6.932e-18,-0.001,15.1,1,24.99312620291449,-8.02366908038762,23956.506562160128
4,BackS000224,-42.2631,1.2257,3.822e-17,2.894e-17,1.24e-17,-0.0,12.89,1,23.088646177292354,-7.842678259065405,22279.81637049562
6,BackS000312,-42.2657,1.1562,2.576e-17,1.925e-17,7.948e-18,0.0,15.92,1,24.748162265178326,-8.000389117516542,22781.906982353903
13,BackS000559,-41.8035,1.1686,2.232e-17,1.7e-17,6.927e-18,-0.0,16.42,1,25.612848689771766,-8.082563939025743,22054.31482339976
20,BackS001410,-42.0631,1.1339,1.449e-17,1.147e-17,5.151e-18,0.0,11.04,1,27.01337295690936,-8.21566170533501,23034.95872390929
26,BackS002011,-40.1421,0.0082,2.42e-17,1.864e-17,7.995e-18,0.0,17.39,1,24.56092947851932,-7.982595591000143,23630.84494163282
29,BackS002124,-40.0762,0.0272,2.093e-17,1.586e-17,6.776e-18,0.0,15.59,1,26.053310404127256,-8.124422885493898,21758.901478790987
31,BackS002176,-40.0825,0.0255,9.932e-18,7.756e-18,3.464e-18,-0.0,15.74,1,28.361934477379094,-8.3438212312474,24169.656830007076
32,BackS002230,-40.1055,0.007,1.617e-17,1.254e-17,5.515e-18,0.0,15.87,1,24.748162265178326,-8.000389117516542,28226.476777786578
33,BackS002278,-40.0386,0.0304,1.283e-17,1.025e-17,4.609e-18,0.001,14.99,1,27.142430576291428,-8.227926598752425,24025.62907997563
34,BackS002309,-40.0398,0.031,1.198e-17,9.397e-18,4.2e-18,0.0,14.96,1,27.70496799756172,-8.281386917858125,23594.562432362698
35,BackS002332,-40.1802,0.0208,1.523e-17,1.195e-17,5.164e-18,-0.0,16.9,1,26.54014598540146,-8.170688937391667,23766.847452275284
