,Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?,Period
0,BackS000011,-42.3083,1.0981,8.753e-14,6.817e-14,2.914e-14,-0.0,13.2,1,44.88888888888889
1,BackS000079,-42.2302,1.1559,3.909e-14,3.544e-14,2.065e-14,0.0,14.69,1,48.12069878242456
2,BackS000103,-42.2601,1.1465,1.626e-17,1.228e-17,5.234e-18,0.001,16.96,1,27.272727272727273
3,BackS000213,-42.2891,1.2276,2.154e-17,1.65e-17,6.932e-18,-0.001,15.1,1,24.99312620291449
4,BackS000224,-42.2631,1.2257,3.822e-17,2.894e-17,1.24e-17,-0.0,12.89,1,23.088646177292354
5,BackS000288,-42.2261,1.2129,6.656e-14,5.058e-14,2.12e-14,0.0,15.16,1,45.2463912394226
6,BackS000312,-42.2657,1.1562,2.576e-17,1.925e-17,7.948e-18,0.0,15.92,1,24.748162265178326
7,BackS000322,-42.2305,1.1152,1.085e-13,8.283e-14,3.374e-14,-0.0,13.25,1,41.67812929848693
8,BackS000332,-42.2727,1.1634,8.755e-14,6.966e-14,3.164e-14,-0.001,17.83,1,44.44987775061125
9,BackS000345,-42.2913,1.1703,5.496e-14,4.998e-14,3e-14,0.0,14.02,1,45.42728635682159
10,BackS000355,-42.2914,1.1703,1.128e-13,8.999e-14,3.978e-14,0.0,22.83,1,43.849493487698986
11,BackS000373,-42.3908,1.565,6.024e-14,5.102e-14,2.648e-14,0.0,18.36,1,46.07197161682716
12,BackS000435,-42.2256,1.2528,6.943000000000001e-20,8.265000000000001e-20,8.433000000000001e-20,-0.001,13.81,1,7.645722937168811
13,BackS000559,-41.8035,1.1686,2.232e-17,1.7e-17,6.927e-18,-0.0,16.42,1,25.612848689771766
14,BackS000570,-41.6843,1.4431,3.545e-14,2.906e-14,1.415e-14,0.0,8.42,1,49.375339489407935
15,BackS000697,-42.5683,1.1679,6.172e-14,4.86e-14,2.143e-14,0.001,8.56,1,46.353901070882195
16,BackS001230,-42.864,1.1897,1.238e-13,9.743e-14,4.208e-14,-0.001,17.04,1,41.98614318706697
17,BackS001299,-41.8684,1.2927,9.121e-14,8.15e-14,4.727e-14,-0.0,20.45,1,43.26511185149929
18,BackS001308,-41.759,1.2538,8.35e-14,7.185e-14,3.893e-14,-0.0,13.18,1,44.276668290306866
19,BackS001335,-42.1636,0.8101,1.594e-20,2.0760000000000002e-20,2.522e-20,0.0,11.97,1,12.423124231242312
20,BackS001410,-42.0631,1.1339,1.449e-17,1.147e-17,5.151e-18,0.0,11.04,1,27.01337295690936
21,BackS001434,-42.191,0.9491,4.083e-14,3.224e-14,1.506e-14,0.001,20.02,1,48.428343100692594
22,BackS001558,-42.5438,1.1937,3.096e-14,2.374e-14,1.013e-14,0.0,10.23,1,48.73994638069705
23,BackS001777,-40.0848,0.013,4.744e-14,3.795e-14,1.789e-14,0.001,15.7,1,47.220779220779214
24,BackS001817,-40.1006,0.0199,8.595e-14,7.015e-14,3.339e-14,0.0,16.84,1,46.07197161682716
25,BackS001940,-40.0198,-0.0011,8.002e-14,7.419e-14,4.55e-14,0.0,13.66,1,42.93811998110534
26,BackS002011,-40.1421,0.0082,2.42e-17,1.864e-17,7.995e-18,0.0,17.39,1,24.56092947851932
27,BackS002012,-40.1089,-0.0103,9.691e-14,8.128e-14,4.22e-14,0.0,16.11,1,42.61603375527426
28,BackS002093,-40.0579,0.0178,6.488e-14,6.544e-14,4.847e-14,0.0,14.79,1,45.97875569044005
29,BackS002124,-40.0762,0.0272,2.093e-17,1.586e-17,6.776e-18,0.0,15.59,1,26.053310404127256
30,BackS002145,-40.0494,0.02,9.809e-14,8.971e-14,5.267e-14,0.0,14.63,1,41.60183066361556
31,BackS002176,-40.0825,0.0255,9.932e-18,7.756e-18,3.464e-18,-0.0,15.74,1,28.361934477379094
32,BackS002230,-40.1055,0.007,1.617e-17,1.254e-17,5.515e-18,0.0,15.87,1,24.748162265178326
33,BackS002278,-40.0386,0.0304,1.283e-17,1.025e-17,4.609e-18,0.001,14.99,1,27.142430576291428
34,BackS002309,-40.0398,0.031,1.198e-17,9.397e-18,4.2e-18,0.0,14.96,1,27.70496799756172
35,BackS002332,-40.1802,0.0208,1.523e-17,1.195e-17,5.164e-18,-0.0,16.9,1,26.54014598540146
36,BackS002357,-39.9319,-0.0369,1.686e-17,1.363e-17,6.156e-18,0.0,13.14,1,26.571178018123355
37,BackS002359,-39.919,-0.0458,2.04e-17,1.537e-17,6.34e-18,-0.001,13.18,1,26.822071407494835
38,BackS002360,-39.9313,-0.0394,3.754e-17,2.941e-17,1.285e-17,0.0,13.14,1,23.543123543123542
39,BackS002364,-39.9308,-0.0479,9.562e-14,7.779e-14,3.623e-14,-0.0,13.13,1,43.59712230215827
40,BackS002370,-40.2208,0.0785,2.033e-17,1.547e-17,6.605e-18,0.001,17.67,1,25.15914752283421
41,BackS002371,-39.9408,-0.0589,1.976e-17,1.554e-17,6.807e-18,-0.0,13.3,1,25.96401028277635
42,BackS002383,-40.189,0.0922,8.614e-14,6.781e-14,3.105e-14,-0.0,17.18,1,44.44987775061125
43,BackS002386,-39.9871,-0.067,2.102e-17,1.594e-17,6.643e-18,-0.001,13.84,1,23.914759273875294
44,BackS002388,-39.9943,-0.0677,3.435e-17,2.588e-17,1.117e-17,0.001,13.93,1,24.80218281036835
45,BackS002396,-40.0973,0.0794,1.489e-17,1.163e-17,5.196e-18,0.0,16.03,1,27.01337295690936
46,BackS002409,-39.9774,0.0351,1.442e-17,1.088e-17,4.57e-18,-0.0,14.66,1,25.699745547073793
47,BackS002416,-40.2436,0.0312,1.55e-17,1.211e-17,5.315e-18,-0.0,17.07,1,27.37127371273713
48,BackS002420,-39.8841,-0.0231,1.474e-17,1.17e-17,5.291e-18,-0.0,13.46,1,27.943436827543803
49,BackS002427,-40.304,0.0918,1.488e-17,1.17e-17,5.14e-18,-0.001,17.8,1,26.664711058961572
50,BackS002431,-39.8821,-0.077,1.402e-17,1.122e-17,5.098e-18,0.001,13.07,1,26.44748327029386
51,BackS002432,-40.2974,0.1173,3.287e-17,2.446e-17,1.029e-17,-0.001,17.7,1,25.355648535564853
52,BackS002456,-40.1691,0.0177,2.913e-17,2.23e-17,9e-18,0.001,16.81,1,24.041258926209995
53,BackS002498,-39.9424,-0.0356,1.063e-17,8.312e-18,3.774e-18,0.0,13.25,1,28.756722556153115
54,BackS002513,-39.9549,-0.0481,4.959e-14,4.56e-14,2.766e-14,0.0,13.28,1,48.22281167108753
55,BackS002522,-39.9331,-0.0699,4.955e-14,5.316e-14,4.462e-14,0.001,13.27,1,46.165566277298126
56,BackS002525,-39.952,-0.069,2.58e-17,1.976e-17,8.084e-18,0.001,13.39,1,24.910934502603453
57,BackS002554,-40.0859,-0.0468,6.458e-14,4.946e-14,2.12e-14,0.001,14.97,1,46.44864588656106
58,BackS002565,-39.9941,0.0483,1.455e-17,1.13e-17,4.791e-18,0.0,14.8,1,25.699745547073793
59,BackS002566,-40.1639,-0.0122,6.159e-14,5.145e-14,2.552e-14,0.001,16.06,1,47.61655316919853
60,BackS002581,-40.2439,0.0364,1.246e-17,9.798e-18,4.397e-18,0.0,17.17,1,25.64174894217207
